country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,COL,4031152976.64,4540447761.19,4955543963.37,4836166666.67,5973366666.67,5760761904.76,5428518518.52,5825170438.49,5960212869.13,6450175213.75,7198360460.2,7820380970.54,8671358732.68,10315760000.34,12370029583.64,13098633901.87,15341403660.47,19470960619.13,23263511958.05,27940411250.27,33400735644.05,36388366869.03,38968039721.75,38729822781.6,38253120737.97,34894411351.98,34942489683.97,36373307085.09,39212550050.42,39540080200.39,47844090709.99,49175565911.07,58418985443.32,66446804802.57,81703500846.04,92507279383.04,97160109277.81,106659508271.26,98443739941.17,86186158684.77,99886577330.73,98203546156.31,97933391976.08,94684584162.77,117074863821.85,145180960224.3,161189825603.14,205706860699.3,241710969502.89,232494134119.68,286103648654.55,334454039093.59,370574421703.06,381866608838.8,381112119657.45,293481748240.78,282856115393.18,314457601859.52,
Costa Rica,CRI,507513829.99,490325181.61,479180824.35,511902136.81,542578367.24,592981162.26,647305630.19,699456618.87,773841494.34,853630203.77,984830158.49,1077152902.29,1238251695.55,1528916185.23,1666544754.1,1960863465.58,2412555425.9,3072427012.84,3523208809.8,4035519323.22,4831447001.17,2623807074.29,2606621255.02,3146770103.81,3660476458.87,3919203960.4,4418983870.97,4532952047.16,4614629898.4,5251025767.48,5711687786.76,7168999670.29,8528593420.84,9537297723.43,10432619325.62,11513472785.72,11618286652.04,12552071488.01,13617405297.06,14195623342.76,14949514493.42,15913363440.51,16504795592.93,17195867468.41,18529767918.15,19952156489.47,22600431882.97,26743874205.85,30612932876.35,30562361123.01,37268635287.15,42262697840.42,46473128285.46,49745088111.62,50577769837.69,54775994478.5,57157992434.22,57285984447.71,
Denmark,DNK,6248946880.28,6933842098.85,7812968114.4,8316692385.77,9506678762.78,10678897387,11721248101.09,12788479692.19,13196541952,15009384584.53,17075466666.67,19085681968.14,23232411897.6,30730638895.78,34160363582.67,40474400473.36,44575847808.11,49784281716.42,60362854966.82,70366280174.87,71127592753.6,61877755004.63,60412846238.78,60644833242.21,59105208272.99,62658544411.31,88078729452.48,109414353171.65,115552848547.87,112409236409.4,138247261092.98,139224732275.46,152915624326.97,143195607581.86,156162311731.6,185006961302.3,187632400365.6,173537588008.18,176992000955.11,177965224620.85,164158800460.22,164791416350.27,178635160297.42,218095997085.48,251373036671.06,264467308109.19,282884912894.33,319423370134.28,353361056079.72,321241396034.25,321995350346.5,344003209695.61,327148899962.15,343584385594.13,352993633221.28,301298464861.39,306899653409.6,324871968807.47,
Dominican Republic,DOM,672399700,654100200,824100000,940799900,1025599900,888100000,983900000,1034800000,1079100000,1230500000,1485500000,1666500000,1987400000,2344800000,2925700000,3599200000,3951500000,4587100000,4734400000,5498800000,6761300000,7561300000,8267400000,9220600000,11594000000,5044592944.8,6122198120.03,5826987099.46,5374314928.43,6686593059.94,7073675544.81,9734321854.02,11356271335.97,13081042400,14664237666.67,16598679279.07,18241691857.35,20017908829.33,21672526562.79,22137599986.11,24305116729.19,25599311449.38,27362875602.5,21642882856.42,22692574473.35,36119047252.18,38116351526.29,44169678153.16,48288967303.49,48376555305.69,53982886258.22,57811180659.45,60657780260.68,62661773591.72,66065015410.05,68802092020.94,72342967648.34,75931656814.66,
Algeria,DZA,2723648551.75,2434776645.74,2001468867.73,2703014867.33,2909351792.59,3136258896.92,3039834558.75,3370843065.77,3852115816.98,4257218772.15,4863487492.66,5077222366.97,6761786386.55,8715105930.49,13209713643.32,15557934268.5,17728347374.99,20971901273.27,26364491313.45,33243422157.63,42345277342.02,44348672667.87,45207088715.65,48801369800.37,53698278905.97,57937868670.19,63696301892.81,66742267773.2,59089067187.39,55631489801.55,62045099642.78,45715367087.1,48003298223.12,49946455210.97,42542571305.51,41764052457.88,46941496779.85,48177862501.95,48187747528.9,48640574566.65,54790245600.58,54744714396.17,56760288973.67,67863829880.48,85324998813.6,103198228458.59,117027304746.54,134977087734.01,171000691877.71,137211039898.19,161207268655.39,200019057307.66,209058991952.13,209755003250.66,213810022462.43,165979277276.91,160129866569.94,167555280113.18,
Ecuador,ECU,2069465326.42,1753850416.71,1518208221.23,1824344492.07,2244146867.9,2387048255.45,2429309513.81,2553596091.82,2582180794.19,3112166848.3,2862504170,2754220263.03,3185987234.84,3891755551.94,6599259421,7731677256.81,9091924304.83,11026346589.5,11922502170.64,14175166007.58,17881514682.88,21810767209.37,19929853574.61,17152483214.35,16912515183.28,17149094589.98,15314143988.06,13945431882.23,13051886552.34,13890828707.65,15239278100.35,16988535267.63,18094238119.06,18938717358.68,22708673336.67,24432884442.22,25226393196.6,28162053026.51,27981896948.47,19645272636.32,18327764882.44,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,
Spain,ESP,12072126075.4,13834300571.48,16138545209.25,19074913947.72,21343844643.73,24756958694.92,28721062242.16,31647119228.2,31475548481.41,36038711599.54,40881655098.65,46492797365.27,58971806626.97,78425934894.35,97009800115.37,114465300289.86,118185307386.22,132089531434.83,160163483072.92,214019077342.59,232134606637.27,202257045774.01,195464408602.15,170486866357.31,171635463361.62,180302412230.92,250638463466.79,317882187036.79,375138723325.24,413630538018.27,535101248775.71,575598537069.66,629202392003.9,523649481762.32,529121577319.59,612939685081.4,640998292394.59,588692045454.55,617041986858.23,633194118900.49,595402616546.9,625975838926.18,705145868624.13,906853273137.7,1069555500372.49,1157276458151.97,1264551499184.54,1479341637010.68,1635015380108.39,1499099749930.54,1431616749640.29,1488067258325.2,1336018949805.58,1361854206549.39,1376910811040.88,1197789902774.43,1237255019653.86,1311320015515.99,
Finland,FIN,5224102195.53,5921659485.03,6340580854.39,6885920328.66,7766655085.79,8589340019.03,9208524504.88,9368954010.31,8823033880.33,10070766720.5,11365953567.38,12536710287.01,14754136507.03,19486826979.93,24867278714.35,29494515597.22,31873171718.73,33524682307.81,36283091407.94,44498283620.82,53685049410.26,52485533204.74,52832120389.79,51014090520.92,52926394934.71,55914236377.59,73586676049.73,91642093872.58,109103056147.83,119064708327.56,141517648888.2,127866490222.03,112625431377.75,89255751014.89,103321570859.42,134199346405.23,132099404607.82,126833123353.57,133936359590.57,135225868314.51,125539893126.96,129250111856.82,139552983248.64,171071106094.81,196768065557.49,204436015420.97,216552502822.73,255384615384.62,283742493042.33,251499027507.64,247799815768.48,273674236772.82,256706466091.09,269980111642.9,272609288689.58,232464833065.55,238677672281.61,251884887972.77,
Fiji,FJI,112328422.11,116987784.91,122906434.96,129454728.62,140032741.47,147084750.03,150603925.52,162625885.86,166952937.14,182182067.7,219878482.17,247749327.72,316650508.97,425963359.36,558589870.9,684268280.81,694552411.72,719533137.13,829239489.84,1019743927.25,1202567359.41,1235899836.18,1194015444.02,1123107276.3,1177997413.63,1141210124.83,1290228616.82,1177908191.98,1109976927.92,1182686577.23,1337024782.23,1383843860.12,1531803060.55,1635426125.31,1825285158.12,1970347720.97,2129266728.43,2093994597.22,1656784779.55,1942170999.19,1684109743.49,1660102345.6,1842691481.09,2315935752.72,2727507212.93,3006725014.78,3102741451.02,3405050611.69,3523185919.56,2870624635.68,3140508835.95,3774530615.66,3972012570.53,4190143206.26,4483416339.94,4362128146.45,4671313314.56,5061202767.43,
France,FRA,62651474946.6,68346741504.43,76313782251.7,85551113767.37,94906593388.31,102160571409.27,110597467198.65,119466139619.59,129847107787.88,140725497222.28,148456359985.83,165966615366.4,203494148244.47,264429876252.21,285552373158.76,360832186018.05,372319038514.07,410279486493.72,506707848837.21,613953129818.07,701288419745.42,615552202776.1,584877732308.61,559869179791.72,530683779929.45,553138414367.06,771470783218.11,934173305685.91,1018847043277.17,1025211803413.53,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1492647560196.04,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2465134297438.91,2582501307216.42,
