country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Kuwait,KWT,269618,301336,338296,379891,425235,473554,524856,579007,634897,691129,746767,801142,854604,908520,964834,1024940,1089209,1157033,1227601,1299683,1372318,1442991,1511314,1580638,1655833,1738994,1836105,1942810,2038885,2096932,2099615,2035661,1909096,1791510,1691890,1610651,1631740,1715314,1836353,1957066,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528,4197128,4248974,4302875,4361470,4422070,4483898,4544704,4602914,4659078,4714483,4768932,4822077,4873674,4923698,4972299,5019631,5065917,5111323,5155871,5199492,5242093,5283579,5323821,5362825,5400553,5436869,5471548,5504477,5535587,5564935,5592606,5618766,5643532,5666974,5689113,5710012,5729703,5748264,5765752,5782284,5797996,5813098,5827732,5841984,5855923,5869667,5883346,5897033,5910795,5924664,5938632,5952682,5966806,5980994,5995225,6009443,6023556,6037495,6051219,6064691,6077825,6090542,6102737,6114383,6125464,6135947,6145852,6155158,6163852,6171942,6179440,6186381,6192779,6198670,6204049,6208941,6213346,6217291,6220791,6223878,6226597,6229001,6231155
Kyrgyz Republic,KGZ,2172300,2255900,2333400,2413700,2495300,2573300,2655300,2736500,2818300,2894800,2959900,3022300,3088200,3153800,3223900,3292400,3358700,3423900,3487100,3552000,3617400,3685800,3759300,3838300,3916400,3990300,4066500,4144600,4218400,4307500,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6201500,6132932,6218616,6301718,6381898,6459055,6533394,6605291,6675072,6742763,6808412,6872400,6935224,6997284,7058739,7119629,7180113,7240301,7300284,7360133,7419811,7479195,7538049,7596178,7653535,7710049,7765538,7819764,7872543,7923784,7973435,8021470,8067880,8112653,8155767,8197197,8236949,8275017,8311417,8346162,8379290,8410905,8441113,8470031,8497710,8524165,8549468,8573672,8596829,8618990,8640179,8660406,8679635,8697868,8715126,8731432,8746866,8761454,8775263,8788315,8800607,8812199,8823140,8833460,8843173,8852243,8860660,8868391,8875401,8881680,8887168,8891765,8895348,8897809,8899067,8899097,8897881,8895416,8891668,8886609,8880196,8872337,8862952,8851934
Lao PDR,LAO,2120896,2170343,2221122,2273349,2327137,2382594,2439196,2496920,2556852,2620434,2688428,2762265,2840841,2919287,2990965,3051577,3098973,3135842,3168843,3207328,3258144,3323377,3401242,3489977,3586381,3687898,3794043,3905163,4020295,4138408,4258472,4380073,4502363,4623280,4740380,4851923,4957180,5056519,5150763,5241284,5329304,5414568,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160,6961210,7064242,7164822,7262301,7357213,7449765,7540495,7629773,7717463,7803221,7887021,7968851,8048698,8126506,8202235,8275833,8347252,8416467,8483420,8548078,8610412,8670363,8727905,8783005,8835638,8885748,8933269,8978146,9020358,9059914,9096823,9131134,9162892,9192112,9218774,9242870,9264391,9283327,9299697,9313514,9324796,9333570,9339862,9343694,9345099,9344110,9340753,9335058,9327089,9316874,9304477,9289954,9273381,9254809,9234310,9211955,9187844,9162057,9134659,9105754,9075415,9043746,9010877,8976838,8941727,8905649,8868708,8830990,8792578,8753513,8713840,8673549,8632672,8591239,8549303,8506900,8464099,8420917,8377395,8333546,8289382,8244887,8200027
Latvia,LVA,2120979,2152681,2181586,2210919,2240623,2265919,2283217,2301220,2323619,2343173,2359164,2376389,2395674,2415819,2437186,2456130,2470989,2485073,2497921,2505953,2511701,2519421,2531080,2546011,2562047,2578873,2599892,2626583,2653434,2666955,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1940740,1929938,1911108,1892993,1875529,1858748,1842658,1827310,1812682,1798806,1785573,1772744,1760023,1747192,1734151,1720947,1707704,1694629,1681894,1669503,1657404,1645603,1634066,1622754,1611695,1600853,1590207,1579662,1569178,1558725,1548305,1537914,1527554,1517200,1506886,1496571,1486265,1475992,1465736,1455501,1445308,1435159,1425074,1415076,1405160,1395350,1385658,1376087,1366653,1357379,1348255,1339316,1330564,1322014,1313680,1305566,1297670,1289998,1282562,1275343,1268360,1261606,1255085,1248794,1242720,1236858,1231202,1225747,1220456,1215332,1210364,1205520,1200764,1196089,1191459,1186858,1182282,1177709,1173129,1168512,1163855,1159122,1154293,1149325
Lebanon,LBN,1804926,1864605,1925276,1984980,2041207,2092348,2136636,2174845,2210959,2250602,2297389,2353555,2416735,2480419,2535497,2575690,2598354,2606221,2604865,2602566,2605293,2615747,2632276,2651292,2667220,2676583,2677280,2672173,2668585,2676605,2703016,2752462,2821862,2900854,2974640,3033394,3070960,3092670,3113951,3156646,3235366,3359859,3522837,3701464,3863267,3986852,4057350,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668,6082357,6093509,6065922,6019795,5957294,5875218,5782760,5690347,5605987,5534571,5477054,5432297,5396990,5368598,5347601,5335196,5330139,5330744,5335520,5344015,5355698,5368874,5381602,5392419,5400434,5405656,5408664,5410527,5412032,5413181,5413649,5413526,5412903,5411830,5410328,5408400,5405980,5402985,5399312,5394933,5389784,5383709,5376502,5367998,5358129,5346865,5334122,5319818,5303918,5286394,5267262,5246534,5224228,5200405,5175098,5148397,5120458,5091479,5061624,5031015,4999746,4967974,4935859,4903555,4871160,4838790,4806579,4774670,4743165,4712175,4681740,4651922,4622751,4594249,4566463,4539404,4513109,4487585,4462823,4438836,4415586,4393019,4371094,4349738
Lesotho,LSO,851591,866462,882170,898647,915822,933655,952206,971512,991491,1012015,1033050,1054453,1076340,1099235,1123855,1150635,1179723,1210799,1243352,1276663,1310118,1343690,1377346,1410439,1442212,1472192,1499861,1525460,1550262,1576022,1603938,1634517,1667121,1700362,1732257,1761359,1787273,1810453,1831298,1850527,1868699,1885955,1902312,1918097,1933728,1949543,1965662,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339,2263010,2292682,2322217,2351503,2380501,2409247,2437840,2466330,2494720,2523002,2551249,2579543,2607957,2636529,2665243,2694144,2723242,2752561,2782100,2811858,2841805,2871934,2902197,2932595,2963091,2993619,3024119,3054502,3084733,3114785,3144620,3174191,3203470,3232414,3260984,3289119,3316747,3343817,3370295,3396164,3421379,3445934,3469806,3492993,3515454,3537219,3558303,3578718,3598462,3617524,3635926,3653659,3670731,3687152,3702925,3718044,3732533,3746382,3759609,3772205,3784192,3795568,3806349,3816537,3826134,3835159,3843598,3851474,3858777,3865533,3871727,3877379,3882495,3887078,3891130,3894662,3897666,3900158,3902135,3903600,3904567,3905030,3904989
Liberia,LBR,1120313,1144986,1170480,1196890,1224344,1252972,1282814,1313941,1346491,1380637,1416529,1454198,1493711,1535229,1578952,1625013,1672300,1720489,1771256,1826881,1888314,1957456,2031850,2102911,2159089,2192555,2201833,2191023,2165090,2131525,2097232,2060267,2022729,2000248,2012885,2073482,2191179,2358469,2551062,2734518,2884522,2991132,3062863,3116233,3176414,3261230,3375838,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823,4731906,4853516,4977720,5103853,5232082,5362863,5496177,5631939,5770096,5910628,6053511,6198650,6345961,6495377,6646813,6800202,6955476,7112532,7271261,7431614,7593499,7756851,7921578,8087611,8254885,8423317,8592845,8763359,8934809,9107105,9280200,9454055,9628677,9804031,9980081,10156726,10333893,10511471,10689379,10867513,11045836,11224283,11402812,11581381,11759900,11938295,12116456,12294273,12471642,12648483,12824700,13000221,13174960,13348829,13521732,13693598,13864357,14033924,14202237,14369213,14534784,14698834,14861275,15022009,15180951,15338057,15493265,15646552,15797873,15947184,16094422,16239521,16382385,16522941,16661160,16797023,16930543,17061730,17190605,17317174,17441445,17563435,17683119,17800502
Libya,LBY,1448417,1498071,1550813,1607171,1667825,1733306,1803683,1878877,1958914,2043818,2133526,2228146,2327490,2430755,2536888,2645139,2754696,2865637,2979093,3096729,3219466,3347781,3480454,3614689,3746715,3873781,3994591,4109703,4220418,4328914,4436661,4544293,4651004,4755289,4855003,4948798,5035884,5117269,5195502,5274163,5355751,5440566,5527515,5615952,5704759,5792688,5881435,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253,6374616,6470956,6569864,6662173,6745673,6822852,6894768,6963840,7031832,7098476,7162726,7224687,7284508,7342346,7398213,7452161,7504306,7554801,7603743,7651158,7697033,7741372,7784117,7825251,7864742,7902530,7938424,7972202,8003680,8032770,8059444,8083580,8105010,8123669,8139509,8152560,8162834,8170352,8175198,8177435,8177145,8174517,8169759,8163080,8154609,8144486,8132960,8120311,8106794,8092565,8077719,8062385,8046654,8030639,8014396,7997999,7981519,7965028,7948544,7932118,7915730,7899295,7882704,7865858,7848722,7831276,7813466,7795217,7776465,7757192,7737386,7716997,7696003,7674391,7652162,7629332,7605955,7582062,7557720,7532985,7507921,7482595,7457085,7431453
Liechtenstein,LIE,16495,16894,17290,17718,18170,18649,19153,19691,20236,20765,21265,21726,22151,22563,22981,23432,23926,24440,24962,25447,25866,26224,26515,26765,27011,27257,27524,27802,28095,28407,28747,29108,29497,29919,30365,30833,31325,31838,32355,32842,33286,33671,34018,34321,34596,34852,35095,35322,35541,35766,36003,36264,36545,36834,37127,37403,37666,37922,38155,38404,38645,38888,39135,39368,39603,39844,40065,40297,40506,40722,40918,41109,41294,41461,41621,41770,41911,42048,42160,42274,42378,42478,42562,42641,42714,42785,42854,42919,42981,43041,43096,43146,43197,43255,43296,43342,43385,43436,43481,43525,43571,43619,43674,43715,43772,43831,43881,43943,44001,44060,44126,44193,44261,44330,44401,44471,44541,44620,44692,44768,44841,44917,44988,45057,45132,45205,45277,45338,45411,45472,45542,45594,45657,45718,45768,45821,45876,45933,45982,46029,46075
Lithuania,LTU,2778550,2823550,2863350,2898950,2935200,2971450,3008050,3044400,3078850,3107321,3139689,3179041,3213622,3244438,3273894,3301652,3328664,3355036,3379514,3397842,3413202,3432947,3457179,3485192,3514205,3544543,3578914,3616367,3655049,3684255,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2827721,2876475,2864459,2852478,2839999,2827266,2814245,2801129,2788010,2774739,2761063,2746987,2732518,2717731,2702561,2687021,2671180,2655143,2638998,2622766,2606474,2590178,2573978,2557900,2541985,2526271,2510732,2495365,2480144,2465098,2450216,2435527,2421030,2406723,2392611,2378697,2364969,2351410,2338008,2324761,2311664,2298706,2285882,2273154,2260543,2248045,2235659,2223398,2211262,2199260,2187392,2175677,2164137,2152771,2141592,2130611,2119818,2109234,2098868,2088705,2078767,2069041,2059528,2050228,2041147,2032273,2023610,2015169,2006946,1998937,1991133,1983532,1976147,1968942,1961933,1955100,1948411,1941860,1935408,1929045,1922751,1916498,1910256,1904002
Luxembourg,LUX,313970,316845,320750,324100,327750,331500,333895,334995,335850,337500,339171,342421,346600,350450,355050,358950,360731,361358,362007,362856,364150,365225,365525,365622,365998,366706,368355,370750,373450,377100,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,599449,590321,596992,603944,611338,618998,626791,634437,641757,648718,655418,661932,668387,674864,681385,687929,694466,700955,707373,713713,719995,726203,732355,738428,744431,750354,756220,762035,767807,773542,779238,784874,790443,795916,801298,806595,811815,816953,822022,827027,831956,836837,841669,846454,851207,855924,860609,865260,869888,874479,879057,883599,888095,892557,896976,901341,905659,909927,914128,918273,922357,926390,930381,934327,938251,942135,945987,949799,953584,957324,961024,964688,968313,971889,975410,978887,982306,985676,989000,992265,995478,998632,1001716,1004737
Macao,MAC,167796,170465,176188,184250,193563,203231,213196,223420,233004,240842,246195,248739,248767,246947,244284,241628,239085,236695,235198,235479,238118,243427,251219,260997,271993,283581,295677,308275,320877,332901,343935,353764,362459,370345,377960,385686,393567,401564,409837,418604,427979,438081,448896,460147,471453,482559,493320,503823,514348,525313,536969,549439,562531,575841,588781,600942,612167,622567,632418,642090,651875,661838,671858,681876,691748,701381,710768,719928,728851,737513,745908,754011,761850,769424,776756,783877,790784,797489,804016,810408,816675,822835,828901,834885,840815,846711,852577,858409,864203,869922,875543,881078,886517,891846,897082,902195,907196,912081,916841,921456,925947,930292,934501,938570,942512,946330,950027,953615,957079,960432,963666,966784,969808,972741,975587,978370,981104,983788,986426,988992,991499,993933,996335,998709,1001109,1003558,1006066,1008628,1011292,1014085,1017020,1020111,1023344,1026715,1030182,1033753,1037394,1041095,1044823,1048569,1052336
Macedonia,MKD,1488667,1507654,1527111,1547450,1569141,1592432,1617794,1644943,1672399,1698143,1720800,1739521,1754956,1768992,1784398,1803010,1825552,1851069,1877688,1902719,1924197,1941530,1955243,1965895,1974415,1981534,1987538,1992274,1995513,1996870,1996228,1993302,1988659,1984028,1981703,1983252,1989443,1999599,2012057,2024394,2034819,2042842,2048928,2053426,2057047,2060272,2063145,2065458,2067378,2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206,2083160,2085051,2086720,2088035,2088955,2089472,2089555,2089175,2088336,2086986,2085130,2082747,2079826,2076350,2072332,2067776,2062712,2057166,2051170,2044743,2037913,2030725,2023251,2015548,2007629,1999528,1991269,1982895,1974422,1965869,1957251,1948564,1939819,1931001,1922129,1913185,1904146,1894996,1885702,1876256,1866657,1856907,1847000,1836928,1826698,1816312,1805781,1795112,1784308,1773392,1762377,1751285,1740155,1729015,1717887,1706786,1695759,1684834,1674038,1663393,1652914,1642625,1632532,1622647,1612990,1603543,1594351,1585383,1576657,1568183,1559938,1551918,1544091,1536438,1528957,1521619,1514429,1507378,1500453,1493638,1486917,1480267,1473659,1467059
Madagascar,MDG,5099373,5223568,5352503,5486319,5625164,5769218,5918595,6073526,6234465,6401921,6576305,6757850,6946620,7142627,7345780,7556026,7773449,7998164,8230218,8469672,8716553,8971345,9234129,9504281,9780872,10063495,10352120,10647754,10952395,11268658,11598633,11942819,12301336,12675460,13066543,13475400,13902688,14347854,14808791,15282521,15766806,16260932,16765117,17279141,17802997,18336724,18880268,19433523,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551,25570895,26262810,26969642,27690798,28426106,29175412,29938052,30713196,31500077,32298311,33107434,33926654,34755062,35591943,36436782,37289343,38149373,39016761,39891388,40772971,41661283,42556397,43458494,44367656,45283723,46206441,47135665,48071248,49012988,49960619,50913785,51872127,52835205,53802574,54773869,55748627,56726164,57705696,58686533,59668151,60650175,61632182,62613812,63594676,64574346,65552365,66528398,67502139,68473226,69441300,70405960,71366711,72323008,73274376,74220370,75160700,76095178,77023691,77946072,78862021,79771130,80672891,81566749,82452185,83328886,84196584,85054910,85903486,86742010,87570153,88387712,89194664,89991059,90776882,91551990,92316134,93068990,93810235,94539567,95256762,95961633,96654079,97334059,98001584
Malawi,MWI,3618595,3700023,3784439,3872118,3963417,4058673,4158124,4262005,4370650,4484439,4603723,4728703,4859610,4996940,5141202,5292808,5454705,5627533,5806845,5986332,6163080,6327569,6484452,6661358,6895928,7211105,7625305,8120093,8636935,9094671,9437553,9641153,9729717,9755857,9796976,9909088,10109789,10381862,10704744,11044356,11376172,11695863,12013711,12336687,12676038,13039711,13429262,13840969,14271234,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575,18622104,19164728,19718743,20283691,20859191,21445468,22043258,22653625,23277224,23914217,24564021,25225545,25897347,26578247,27267730,27965730,28672108,29386842,30109857,30840793,31579218,32324869,33077454,33836707,34602300,35373855,36150880,36932805,37719155,38509466,39303412,40100768,40901375,41705002,42511285,43319721,44129755,44940790,45752245,46563628,47374487,48184363,48992765,49799238,50603295,51404420,52202051,52995621,53784568,54568455,55346797,56119055,56884673,57643148,58394046,59137004,59871705,60597887,61315271,62023525,62722331,63411467,64090755,64759965,65418924,66067352,66704866,67331017,67945464,68547968,69138448,69716887,70283385,70837984,71380638,71911223,72429602,72935618,73429175,73910216,74378765,74834903,75278782,75710602
Malaysia,MYS,8157106,8418460,8692815,8974084,9253963,9526563,9789982,10046172,10297801,10549226,10803978,11062338,11324251,11592698,11871233,12162369,12468893,12790546,13123069,13460201,13798125,14133840,14470633,14818617,15191625,15598942,16045047,16525108,17027588,17535971,18038321,18529454,19012724,19494967,19986894,20495597,21023321,21565325,22113464,22656286,23185608,23698907,24198811,24688703,25174109,25659393,26143566,26625845,27111069,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265,31624264,32042458,32454455,32869323,33289213,33710811,34131170,34545393,34949758,35343767,35728205,36102129,36464597,36814968,37152789,37477978,37790724,38091467,38380670,38658468,38925160,39181636,39429022,39668262,39899761,40123869,40341496,40553598,40760928,40963843,41162327,41356264,41545333,41729217,41907826,42080972,42247998,42408073,42560484,42704872,42840966,42968270,43086253,43194485,43292740,43380831,43458395,43525108,43580750,43625311,43658962,43681969,43694697,43697589,43690929,43675140,43650953,43619220,43580736,43536015,43485571,43430168,43370642,43307700,43241869,43173547,43103261,43031475,42958599,42884958,42810756,42736140,42661139,42585801,42510135,42434147,42357806,42281052,42203736,42125670,42046571,41966109,41883864,41799363
Maldives,MDV,89887,92350,94938,97584,100214,102766,105190,107538,109959,112651,115768,119378,123441,127791,132195,136519,140665,144736,148892,153386,158385,163935,169960,176356,182953,189637,196357,203124,209885,216595,223215,229754,236190,242459,248433,254082,259327,264275,269206,274484,280384,287027,294341,302209,310423,318836,327371,336070,345054,354501,364511,375131,386203,397397,408247,418403,427756,436330,444259,451738,458909,465782,472334,478508,484309,489695,494699,499335,503688,507806,511766,515596,519304,522911,526456,529943,533391,536815,540219,543603,546961,550300,553607,556862,560042,563119,566092,568924,571619,574133,576435,578530,580384,582014,583406,584547,585449,586096,586493,586671,586619,586346,585865,585184,584299,583247,582031,580649,579108,577420,575584,573608,571502,569261,566904,564416,561816,559120,556326,553440,550485,547456,544376,541264,538149,535053,531974,528928,525936,523016,520186,517453,514803,512259,509796,507423,505105,502870,500694,498566,496493
Mali,MLI,5263733,5322266,5381368,5441613,5503752,5568484,5635859,5706199,5780835,5861412,5949045,6044530,6147458,6256187,6368348,6482278,6596773,6712401,6831295,6956579,7090126,7234303,7387656,7543743,7693667,7831889,7955164,8067758,8180728,8309531,8465188,8652514,8868263,9105472,9353385,9604450,9856810,10114094,10380835,10663723,10967690,11293258,11638929,12005128,12391906,12798763,13227064,13675606,14138216,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837,18541980,19107706,19689140,20284180,20892584,21515305,22152885,22806188,23475747,24161496,24862935,25579703,26311270,27057112,27816844,28590026,29375969,30173868,30982972,31802693,32632452,33471454,34318829,35173773,36035737,36904189,37778476,38657969,39542118,40430330,41322247,42217820,43117136,44020171,44926621,45836003,46747759,47661234,48575874,49491173,50406799,51322530,52238234,53153630,54068306,54981656,55893074,56801833,57707270,58608833,59505968,60397896,61283762,62162821,63034405,63898039,64753271,65599713,66436958,67264542,68081920,68888495,69683651,70466814,71237593,71995636,72740561,73471980,74189589,74893066,75582199,76256970,76917433,77563590,78195360,78812561,79414980,80002394,80574641,81131606,81673273,82199650,82710868,83207100
Malta,MLT,326550,325250,323900,322550,321250,318800,315200,311550,307900,304300,302650,302700,302450,302200,301996,304222,305774,306970,310182,313342,316645,318982,325898,330524,330593,336452,342121,344485,347325,350722,354170,363845,367618,371308,374797,377419,379905,382791,385287,387578,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,465292,432089,433245,434363,435469,436533,437509,438352,439036,439555,439920,440107,440129,439963,439613,439085,438406,437599,436695,435714,434651,433519,432345,431149,429919,428671,427423,426185,424966,423774,422603,421464,420336,419247,418166,417103,416057,415015,413968,412905,411842,410755,409642,408486,407304,406067,404778,403448,402049,400598,399088,397524,395909,394244,392541,390797,389025,387234,385454,383661,381888,380123,378390,376678,374999,373367,371785,370230,368742,367302,365921,364584,363314,362084,360915,359797,358717,357686,356697,355746,354828,353934,353061,352199
Marshall Islands,MHL,14662,15051,15547,16114,16710,17284,17842,18388,18961,19622,20395,21313,22341,23439,24531,25576,26552,27470,28405,29418,30576,31893,33330,34892,36561,38333,40204,42153,44063,45814,47298,48475,49378,50048,50575,51015,51401,51692,51925,52079,52159,52183,52158,52116,52074,52055,52078,52137,52218,52320,52425,52542,52663,52793,52898,52994,53066,53127,53167,53211,53251,53289,53327,53400,53514,53702,53956,54299,54695,55143,55634,56159,56726,57321,57943,58586,59239,59915,60576,61232,61858,62454,63028,63547,64033,64457,64825,65154,65424,65659,65868,66033,66183,66311,66437,66575,66718,66873,67058,67264,67496,67764,68054,68386,68731,69108,69500,69913,70338,70758,71173,71575,71965,72337,72680,72987,73266,73507,73700,73866,73993,74081,74130,74142,74133,74087,74016,73924,73813,73683,73551,73400,73242,73084,72923,72757,72587,72421,72246,72087,71925
Mauritania,MRT,858168,883221,909174,936016,963747,992367,1021882,1052286,1083583,1115788,1148908,1182954,1217941,1253874,1290790,1328686,1367563,1407436,1448414,1490603,1534085,1578938,1625124,1672496,1720812,1769942,1819954,1870978,1923002,1976030,2030140,2085202,2141445,2199791,2261403,2327075,2397245,2471598,2549223,2628803,2709359,2790729,2873228,2957117,3042823,3130720,3220653,3312665,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018,4420184,4540068,4661149,4783767,4907911,5033378,5160072,5287877,5416711,5546519,5677339,5809251,5942334,6076668,6212246,6349041,6487015,6626118,6766329,6907598,7049901,7193176,7337362,7482408,7628249,7774826,7922068,8069896,8218228,8367010,8516175,8665625,8815261,8965000,9114775,9264531,9414225,9563831,9713321,9862627,10011698,10160497,10308970,10457086,10604785,10752025,10898755,11044939,11190525,11335471,11479727,11623244,11765958,11907842,12048824,12188874,12327932,12465975,12602931,12738763,12873404,13006835,13139029,13269949,13399561,13527800,13654515,13779515,13902661,14023880,14143159,14260514,14376017,14489677,14601517,14711470,14819492,14925511,15029498,15131420,15231278,15329107,15424969,15518953
Mauritius,MUS,659351,680757,700349,718861,736381,753000,768813,783917,798413,812405,826000,839230,852053,864819,878042,892000,906507,921379,933499,949888,966039,980462,992521,1001691,1012221,1020528,1028360,1036082,1043239,1051260,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1268315,1271368,1274114,1276475,1278528,1280313,1281882,1283273,1284502,1285507,1286275,1286760,1286934,1286778,1286302,1285475,1284273,1282701,1280740,1278396,1275684,1272612,1269200,1265448,1261389,1257038,1252432,1247598,1242572,1237352,1231995,1226541,1221030,1215489,1209919,1204349,1198773,1193212,1187671,1182151,1176653,1171161,1165670,1160163,1154667,1149147,1143603,1138022,1132403,1126719,1120996,1115207,1109336,1103404,1097395,1091311,1085168,1078966,1072704,1066386,1060026,1053653,1047260,1040880,1034498,1028138,1021811,1015508,1009267,1003072,996944,990897,984928,979056,973274,967613,962067,956636,951347,946194,941188,936339,931656
Mexico,MEX,38174112,39394126,40649588,41939880,43264272,44623043,46011038,47429812,48894019,50423481,52029861,53718724,55478151,57280587,59088193,60872399,62623763,64345884,66039488,67709689,69360871,70992195,72602533,74196548,75780605,77360707,78934125,80503052,82083919,83697891,85357874,87071512,88828310,90600453,92349147,94045579,95687452,97281739,98821456,100300579,101719673,103067068,104355608,105640453,106995583,108472228,110092378,111836346,113661809,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423,129163276,130759074,132328035,133870027,135384210,136869035,138322966,139744251,141131503,142483838,143800923,145082590,146328968,147540127,148715786,149855622,150959640,152027945,153060606,154057506,155018610,155944137,156834427,157689665,158509924,159295037,160044704,160758548,161436237,162077571,162682510,163251082,163783345,164279302,164739025,165162280,165548426,165896569,166206147,166477093,166709750,166904471,167061775,167182207,167266248,167314374,167327186,167305355,167249641,167160826,167039844,166887862,166706162,166496007,166258218,165993818,165704593,165392581,165059416,164706318,164333769,163941723,163529742,163097669,162646136,162176080,161687993,161182369,160659839,160121048,159566919,158998720,158417915,157825851,157223616,156612074,155992010,155364172,154729398,154088687,153443147,152794053,152142826,151491044
Micronesia,FSM,44537,45955,47388,48876,50487,52242,54199,56319,58403,60170,61431,62108,62298,62290,62476,63144,64386,66105,68222,70550,72964,75462,78059,80678,83240,85686,87948,90020,92021,94091,96331,98799,101413,103934,106057,107556,108344,108502,108238,107816,107432,107165,106983,106816,106577,106196,105684,105078,104478,103960,103616,103468,103503,103702,104015,104433,104937,105544,106227,106983,107774,108609,109471,110367,111301,112283,113299,114349,115404,116441,117430,118363,119242,120075,120849,121579,122253,122874,123455,123993,124494,124958,125391,125798,126179,126546,126894,127234,127559,127878,128193,128510,128821,129129,129419,129688,129932,130151,130333,130489,130594,130660,130667,130622,130529,130377,130170,129900,129593,129229,128818,128365,127871,127341,126783,126216,125615,125011,124389,123766,123130,122509,121883,121256,120642,120018,119406,118792,118187,117583,116975,116368,115752,115135,114510,113889,113252,112609,111964,111302,110629
Monaco,MCO,22452,22808,23039,23168,23236,23282,23305,23292,23304,23346,23484,23720,24051,24439,24835,25197,25523,25809,26087,26395,26745,27164,27624,28095,28512,28835,29041,29172,29235,29312,29439,29624,29863,30138,30427,30691,30967,31251,31523,31800,32082,32360,32629,32933,33314,33793,34408,35111,35853,36534,37094,37497,37783,37971,38132,38307,38499,38695,38897,39102,39297,39495,39684,39890,40086,40294,40499,40713,40919,41143,41362,41577,41798,42027,42250,42462,42675,42885,43089,43289,43487,43689,43891,44094,44298,44513,44732,44965,45198,45440,45685,45928,46175,46432,46696,46949,47211,47480,47749,48010,48281,48555,48828,49112,49398,49682,49979,50279,50581,50889,51198,51513,51823,52148,52463,52788,53114,53434,53757,54094,54407,54732,55054,55370,55683,55993,56299,56599,56898,57188,57474,57752,58031,58307,58569,58827,59078,59328,59575,59819,60055
